City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lata,40.1629,-8.3327,21.38,84,100,4.03,PT,1728236169
1,coquimbo,-29.9533,-71.3436,14.85,77,100,0.0,CL,1728236169
2,wailua homesteads,22.0669,-159.378,25.44,73,75,6.17,US,1728236169
3,edinburgh of the seven seas,-37.0676,-12.3116,14.44,89,91,8.69,SH,1728236169
4,yerofey pavlovich,53.9667,121.9667,-0.79,75,84,1.5,RU,1728236169
5,mancio lima,-7.6142,-72.8958,34.04,49,40,2.06,BR,1728236170
6,rumoi,43.9344,141.6428,13.67,91,100,2.63,JP,1728236170
7,murghob,38.1702,73.9667,3.66,24,61,2.35,TJ,1728236170
8,afaahiti,-17.75,-149.2833,22.55,71,36,9.54,PF,1728236170
9,ushuaia,-54.8,-68.3,9.81,53,20,5.14,AR,1728236016
10,mao,39.8885,4.2658,23.31,88,20,4.63,ES,1728236170
11,waitangi,-43.9535,-176.5597,11.57,98,99,3.13,NZ,1728236170
12,remire-montjoly,4.9167,-52.2667,34.02,49,0,5.66,GF,1728236171
13,yellowknife,62.456,-114.3525,6.9,83,20,4.63,CA,1728236171
14,balabac,7.9868,117.0645,26.38,86,84,2.21,PH,1728236171
15,puerto natales,-51.7236,-72.4875,11.25,46,0,7.72,CL,1728236171
16,greymouth,-42.4667,171.2,10.18,94,96,1.16,NZ,1728236171
17,iqaluit,63.7506,-68.5145,2.85,86,75,7.72,CA,1728236172
18,thompson,55.7435,-97.8558,5.09,65,40,4.63,CA,1728236172
19,isafjordur,66.0755,-23.124,3.02,75,20,9.77,IS,1728236172
20,adamstown,-25.066,-130.1015,19.76,68,100,4.94,PN,1728236172
21,west island,-12.1568,96.8225,25.99,83,20,5.14,CC,1728235968
22,grytviken,-54.2811,-36.5092,-1.86,88,80,6.03,GS,1728236172
23,bethel,41.3712,-73.414,22.01,49,0,2.57,US,1728236172
24,karratha,-20.7377,116.8463,25.13,60,84,5.24,AU,1728236173
25,weno,7.4515,151.8468,26.97,78,75,0.0,FM,1728236173
26,vadso,70.0744,29.7487,0.09,86,75,3.09,NO,1728235891
27,ribeira grande,38.5167,-28.7,23.22,56,40,7.2,PT,1728236173
28,acapulco de juarez,16.8634,-99.8901,29.9,66,40,2.57,MX,1728236173
29,blackmans bay,-43.0167,147.3167,13.74,68,81,3.58,AU,1728236174
30,puerto ayora,-0.7393,-90.3518,22.53,93,87,4.02,EC,1728236174
31,fale old settlement,-9.3852,-171.2468,27.58,77,34,5.56,TK,1728236174
32,talnakh,69.4865,88.3972,-8.95,88,87,4.44,RU,1728236174
33,port-aux-francais,-49.35,70.2167,1.27,63,96,12.52,TF,1728236174
34,hamilton,39.1834,-84.5333,30.4,56,0,6.17,US,1728236175
35,yeppoon,-23.1333,150.7333,18.39,86,60,1.79,AU,1728236175
36,olonkinbyen,70.9221,-8.7187,-1.23,70,100,3.92,SJ,1728236175
37,sitka,57.0531,-135.33,10.94,66,75,5.66,US,1728236175
38,guerrero negro,27.9769,-114.0611,24.52,64,10,4.1,MX,1728236175
39,st. john's,47.5649,-52.7093,11.82,86,75,6.69,CA,1728235912
40,puerto aysen,-45.4,-72.7,16.82,49,0,1.91,CL,1728236120
41,bredasdorp,-34.5322,20.0403,16.43,98,89,3.66,ZA,1728236176
42,hawaiian paradise park,19.5933,-154.9731,23.83,73,0,3.6,US,1728236176
43,utrik,11.2278,169.8474,28.25,74,69,3.31,MH,1728236176
44,sao vicente,-23.9631,-46.3919,24.43,31,100,3.6,BR,1728236176
45,bilibino,68.0546,166.4372,-12.2,99,97,0.49,RU,1728236176
46,margaret river,-33.95,115.0667,12.07,87,64,1.57,AU,1728236177
